conflict_label,is_conflict,station,stop_name,platform,trip_id,route_id,route_name,trip_headsign,scheduled_arrival,scheduled_departure,actual_arrival,delay_minutes,conflict_flags,severity,time_of_day,service_date,source
headway_conflict,True,London Kings Cross,London Kings Cross,Platform 8,LOND_WEST_1645_1751,west_coast_main_line,West Coast Main Line,Glasgow Central,16:45:00,16:47:00,17:04:00,19,Insufficient time between consecutive trains,moderate,off_peak,2026-01-28,synthetic
headway_conflict,True,London Waterloo,London Waterloo,Platform 6,LOND_MIDL_1100_6299,midland_main_line,Midland Main Line,Birmingham New Street,11:00:00,11:02:00,11:19:00,19,Insufficient time between consecutive trains,moderate,off_peak,2026-01-28,synthetic
headway_conflict,True,London Paddington,London Paddington,Platform 13,LOND_EAST_1630_7872,east_coast_main_line,East Coast Main Line,York,16:30:00,16:32:00,16:39:00,9,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
platform_conflict,True,York,York,Platform 5,YORK_EAST_1130_4806,east_coast_main_line,East Coast Main Line,York,11:30:00,11:32:00,11:47:00,17,Two trains scheduled for same platform at overlapping times,moderate,off_peak,2026-01-28,synthetic
headway_conflict,True,London St Pancras,London St Pancras,Platform 4,LOND_SOUT_1300_7251,south_western_main_line,South Western Main Line,Southampton,13:00:00,13:02:00,13:14:00,14,Insufficient time between consecutive trains,minor,off_peak,2026-01-28,synthetic
transfer_timing_conflict,True,London Euston,London Euston,Platform 1,LOND_WEST_2100_7853,west_coast_main_line,West Coast Main Line,Glasgow Central,21:00:00,21:02:00,21:14:00,14,Insufficient connection time between services,minor,night,2026-01-28,synthetic
service_gap_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 6,MANC_SOUT_1400_2295,south_western_main_line,South Western Main Line,Southampton,14:00:00,14:02:00,14:42:00,42,Excessive gap in service on a route,severe,off_peak,2026-01-28,synthetic
platform_conflict,True,Glasgow Central,Glasgow Central,Platform 4,GLAS_WEST_0945_3994,west_coast_main_line,West Coast Main Line,Birmingham New Street,09:45:00,09:47:00,10:17:00,32,Two trains scheduled for same platform at overlapping times,severe,off_peak,2026-01-28,synthetic
delay_propagation_conflict,True,York,York,Platform 7,YORK_EAST_0645_2542,east_coast_main_line,East Coast Main Line,York,06:45:00,06:47:00,07:00:00,15,Incoming delay affects downstream schedule,minor,morning_peak,2026-01-28,synthetic
platform_conflict,True,Manchester Piccadilly,Manchester Piccadilly,Platform 8,MANC_GREA_1030_5008,great_western_main_line,Great Western Main Line,Bristol,10:30:00,10:32:00,10:54:00,24,Two trains scheduled for same platform at overlapping times,moderate,off_peak,2026-01-28,synthetic
